cap,fermat method,classical method
0,58.202,144.216
1000,117.128,289.954
2000,202.008,454.434
3000,266.898,570.984
4000,350.644,675.994
5000,352.656,870.404
6000,468.508,1050.684
7000,540.602,1136.374
8000,541.128,1321.048
9000,647.396,1469.93
10000,735.112,1578.16
11000,733.524,1744.77
12000,881.102,1957.824
13000,872.492,2072.508
14000,951.674,2269.248
15000,1006.996,2366.792
16000,1022.288,2546.212
17000,1115.62,2579.918
18000,1268.054,2752.798
19000,1140.72,2997.432
20000,1252.45,3178.916
21000,1440.036,3247.182
22000,1479.178,3358.112
23000,1481.4,3638.402
24000,1531.198,3684.292
25000,1550.336,3835.568
26000,1773.962,4024.588
27000,1695.82,4073.544
28000,1861.822,4115.478
29000,1840.93,4454.024
30000,1993.212,4477.28
31000,1811.016,4695.62
32000,1905.212,4995.262
33000,2092.716,4792.796
34000,2087.794,5187.876
35000,2124.26,5733.438
36000,2267.438,5381.8
37000,2442.87,5605.186
38000,2455.56,5800.972
39000,2705.23,6221.588
40000,2682.716,6000.734
41000,2869.602,5991.384
42000,2636.222,6399.658
43000,2588.848,7150.212
44000,2852.39,6845.686
45000,3032.192,6594.98
46000,3036.002,6393.448
47000,2872.634,7276.846
48000,3526.706,6889.968
49000,2933.992,7698.226
50000,3177.094,7638.808
51000,3232.558,7887.814
52000,3326.902,7843.988
53000,3193.552,8356.548
54000,3347.82,8045.76
55000,3291.212,8460.698
56000,3860.728,8517.654
57000,3443.624,8330.058
58000,3777.214,9057.8
59000,3616.634,9134.924
60000,3702.714,9492.884
61000,3569.472,9279.672
62000,3692.76,10098.352
63000,4003.552,9358.146
64000,3896.016,9695.534
65000,3673.354,10230.63
66000,4203.438,9449.628
67000,4798.884,10122.874
68000,4403.592,10080.37
69000,4769.916,10264.452
70000,4807.802,10312.896
71000,4438.342,10483.628
72000,4686.512,11045.186
73000,4619.552,10758.172
74000,4283.188,11613.626
75000,4329.784,11847.188
76000,4804.204,11917.228
77000,4749.48,11920.998
78000,5567.38,11100.936
79000,5272.492,11267.84
80000,4965.468,12705.59
81000,4921.09,12783.364
82000,5060.868,12399.044
83000,5375.782,11936.778
84000,4831.568,13321.726
85000,4995.376,12746.366
86000,5896.56,12826.718
87000,5448.434,13073.916
88000,6055.18,12272.132
89000,5048.046,13845.742
90000,4675.778,14790.922
91000,5840.45,13873.52
92000,5892.774,13696.312
93000,5309.998,14636.884
94000,5548.632,14339.45
95000,5813.744,14237.294
96000,5706.526,14304.402
97000,6185.828,14565.19
98000,6722.546,14710.718
99000,6057.79,14922.01
100000,5924.428,16133.852
101000,6315.902,16255.3
102000,7304.756,15196.17
103000,6495.258,15582.172
104000,6404.102,15851.262
105000,6229.036,16118.498
106000,6467.62,15519.476
107000,6628.568,16229.718
108000,6877.42,16548.474
109000,5930.222,17587.668
110000,5977.042,17094.036
111000,6693.292,17021.158
112000,6274.438,17014.646
113000,7674.946,16642.678
114000,7432.642,16983.642
115000,6447.652,18602.476
116000,7038.868,18150.382
117000,7275.516,17606.6
118000,7243.64,17106.886
119000,7140.586,18554.818
120000,7671.25,17649.762
121000,7240.232,17500.814
122000,7411.348,19175.046
123000,7053.454,19658.64
124000,7617.636,18695.86
125000,8208.326,20098.424
126000,6801.812,19296.518
127000,7111.824,20972.196
128000,7133.008,20841.906
129000,7870.364,19322.49
130000,8535.516,19596.168
131000,7729.226,20175.582
132000,7974.3,19772.974
133000,8044.292,20985.586
134000,8079.704,19927.922
135000,9079.55,19771.958
136000,8254.882,21285.056
137000,8553.008,21671.362
138000,7843.146,22120.586
139000,8076.06,22033.912
140000,8822.176,20534.234
141000,9109.87,22349.24
142000,8906.69,21241.212
143000,8872.136,21429.996
144000,8031.548,22256.038
145000,8964.99,22995.182
146000,9771.132,21984.998
147000,8593.82,23004.534
148000,8685.778,22111.49
149000,9702.09,21691.014
150000,7607.43,25267.274
151000,9999.848,22980.2
152000,9388.116,23686.708
153000,9144.308,22973.438
154000,10193.242,22919.944
155000,9505.156,23153.494
156000,8234.538,25529.372
157000,10627.552,24383.226
158000,10957.08,23858.448
159000,9313.376,25130.204
160000,9252.36,25024.752
161000,9339.656,25428.046
162000,10223.584,23885.9
163000,10294.816,23975.47
164000,10828.6,23963.202
165000,10195.918,25051.868
166000,9424.534,26581.712
167000,10171.68,24701.932
168000,11261.974,24207.778
169000,10696.396,25773.03
170000,10380.422,28087.702
171000,10943.404,26019.858
172000,10279.016,26470.738
173000,10420.35,25970.378
174000,9534.898,25426.644
175000,10617.212,27423.57
176000,11251.148,27377.782
177000,10146.46,27326.246
178000,10680.674,27251.888
179000,11047.054,27284.82
180000,10577.208,28067.6
181000,10759.434,28694.156
182000,10542.732,28462.298
183000,11927.444,27147.656
184000,12054.82,28539.428
185000,13422.086,26384.93
186000,11020.806,29169.988
187000,11581.808,28340.34
188000,11305.952,29670.9
189000,11293.028,31377.368
190000,11642.168,27966.064
191000,12101.214,29078.156
192000,12309.246,29754.112
193000,12180.966,28576.798
194000,12771.05,28993.414
195000,11675.346,30333.14
196000,11225.652,31663.68
