number,fermat method,classical method
203411,63.171,139.495
861691,124.752,293.537
1913674,181.737,436.786
3449406,246.308,584.921
5278441,318.039,721.457
7909288,367.881,896.834
10639203,451.012,1017.248
13789711,488.405,1167.07
17656036,537.025,1345.302
21053487,636.689,1439.448
25893819,675.029,1610.929
29865143,734.008,1714.187
35791351,846.099,1874.147
43400898,868.458,2106.124
50178067,887.253,2280.947
53818101,1058.164,2288.32
59347471,1100.335,2390.784
68705691,1064.89,2621.722
78185450,1183.487,2821.78
85678488,1275.065,2934.391
95839408,1351.909,3113.289
110668650,1392.096,3355.888
111000005,1587.336,3271.612
127997745,1509.639,3585.62
135986584,1519.244,3701.442
158338081,1535.952,4094.033
142686145,1801.077,3672.509
181238347,1735.117,4306.723
182630047,1724.752,4333.515
193209908,1990.408,4381.072
217521986,1923.59,4741.725
234119926,1920.914,4957.192
239841604,2053.273,4938.627
252307272,2168.356,5077.484
269009135,2007.525,5307.385
276742473,2292.323,5252.031
305211434,2178.404,5599.867
317558508,2125.74,5734.654
337267300,2342.669,5879.236
366720640,2482.448,6108.494
366841552,2599.884,6053.112
383613774,2639.778,6197.804
415519426,2717.266,6481.721
455438225,2612.935,6901.023
440408424,2857.788,6602.756
468326827,2883.028,6894.208
482532802,2846.876,7011.699
537324876,2837.239,7516.359
531209664,3080.293,7327.965
569983146,3107.869,7676.816
584194213,3068.451,7753.23
638488883,3124.967,8204.865
662477238,3000.576,8421.304
656745603,3138.598,8262.386
662676401,3311.806,8210.284
712107352,3342.75,8647.698
710229404,3550.631,8504.163
742706746,3607.088,8745.184
793540137,3758.193,8967.69
748614924,3777.412,8627.687
791563437,3820.42,8933.603
850083291,3847.8,9342.247
847970642,3943.752,9224.686
907814139,3976.242,9681.111
944269889,3826.818,9836.479
962314468,4222.124,9731.588
989398200,4082.677,10089.765
992307688,4218.67,9975.584
1043461027,4284.366,10346.196
1103415895,4261.793,10628.137
1106317487,4501.931,10635.655
1129821694,4227.235,10764.749
1199065403,4408.802,10974.936
1184558612,4545.065,10924.085
1271622924,4370.242,11503.962
1299331704,4639.197,11599.998
1308249715,4731.26,11465.082
1355430151,4669.778,11735.425
1359463058,4919.53,11725.836
1511231636,4520.587,12715.533
1505689419,4951.362,12472.579
1559383325,4908.013,12796.599
1541978665,4833.932,12725.095
1586549613,5173.653,12784.436
1556047245,5697.404,12395.087
1576679706,4981.03,12780.058
1659275395,5283.796,12971.588
1789662751,5079.942,13805.362
1779807026,5567.974,13505.702
1844620561,5355.367,13863.658
1847102011,5703.523,13812.88
1798385384,5608.159,13452.076
1895231938,5444.418,13960.049
1904112901,5777.92,13985.043
2068006670,5586.46,14717.32
2034022082,6038.56,14306.788
2067652154,5991.333,14427.288
2174498685,5866.945,15108.653
2162866019,6240.139,14712.072
2219803277,6449.233,14903.709
2245519250,6307.836,15137.486
2291556196,6070.654,15313.107
2460656291,6046.76,16064.968
2480229240,6099.684,16266.29
2458020823,6627.371,15890.264
2554886709,6129.684,16489.589
2556718779,6548.923,16157.16
2484679275,6866.114,15801.042
2679757339,7196.513,16468.824
2611498036,7221.091,16158.264
2601689771,7035.572,16081.844
2864270475,7059.621,17230.027
2946656964,6771.869,17669.434
3047439383,6654.393,17795.093
2862881327,7591.793,16843.919
2980154726,7225.515,17418.103
3171909833,7217.802,18187.693
3243221320,6567.12,18636.484
3117598014,7591.185,17777.933
3196333786,6879.711,18317.46
3344601696,7226.071,18710.422
